Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
100,0.8746,0.178,0.000,0.000,0.000,2.463,0.155,0.417,0.290,3.670
101,0.8385,0.334,0.000,0.000,0.000,3.155,0.237,0.678,0.420,5.090
102,0.8817,0.230,0.000,0.000,0.000,2.895,0.186,0.543,0.329,4.394
103,0.8702,0.276,0.000,0.000,0.000,3.277,0.245,0.716,0.412,5.195
104,0.8807,0.240,0.000,0.000,0.000,2.915,0.222,0.606,0.361,4.581
105,0.8670,0.297,0.000,0.000,0.000,3.389,0.239,0.713,0.423,5.335
106,0.8834,0.219,0.000,0.000,0.000,2.740,0.180,0.522,0.322,4.179
107,0.8725,0.268,0.000,0.000,0.000,2.979,0.227,0.632,0.358,4.710
108,0.8888,0.271,0.000,0.000,0.000,3.053,0.223,0.655,0.366,4.824
109,0.8804,0.274,0.000,0.000,0.000,3.101,0.226,0.685,0.385,4.934
110,0.8781,0.285,0.000,0.000,0.000,3.406,0.252,0.768,0.430,5.439
111,0.8765,0.287,0.000,0.000,0.000,3.290,0.245,0.721,0.428,5.252
112,0.8732,0.237,0.000,0.000,0.000,3.182,0.197,0.603,0.346,4.800
113,0.8974,0.190,0.000,0.000,0.000,2.605,0.170,0.459,0.262,3.871
114,0.8603,0.244,0.000,0.000,0.000,2.959,0.225,0.627,0.352,4.648
115,0.8764,0.268,0.000,0.000,0.000,3.021,0.224,0.634,0.381,4.771
116,0.8477,0.206,0.000,0.000,0.000,2.814,0.194,0.544,0.330,4.298
117,0.8475,0.251,0.000,0.000,0.000,3.006,0.221,0.626,0.358,4.704
118,0.8542,0.271,0.000,0.000,0.000,3.188,0.246,0.685,0.377,5.033
119,0.8293,0.300,0.000,0.000,0.000,3.316,0.267,0.741,0.436,5.347
120,0.8915,0.273,0.000,0.000,0.000,3.357,0.228,0.690,0.408,5.225
121,0.8841,0.269,0.000,0.000,0.000,3.169,0.220,0.670,0.395,4.982
122,0.8720,0.220,0.000,0.000,0.000,2.712,0.153,0.476,0.290,4.037
123,0.8722,0.243,0.000,0.000,0.000,3.091,0.225,0.640,0.370,4.815
124,0.8493,0.231,0.000,0.000,0.000,2.863,0.223,0.582,0.314,4.441
136,0.8760,0.113,0.000,0.000,0.000,2.249,0.111,0.311,0.211,3.124
137,0.8873,0.221,0.000,0.000,0.000,2.744,0.195,0.535,0.368,4.277
138,0.8676,0.137,0.000,0.000,0.000,2.305,0.121,0.349,0.221,3.266
139,0.8634,0.117,0.000,0.000,0.000,2.151,0.096,0.276,0.165,2.915
140,0.8544,0.172,0.000,0.000,0.000,2.528,0.160,0.445,0.285,3.764
141,0.8739,0.204,0.000,0.000,0.000,2.698,0.170,0.491,0.300,4.053
142,0.8403,0.221,0.000,0.000,0.000,2.861,0.192,0.540,0.350,4.373
143,0.8480,0.198,0.000,0.000,0.000,2.711,0.184,0.507,0.357,4.153
144,0.8661,0.210,0.000,0.000,0.000,2.706,0.165,0.509,0.306,4.090
145,0.8459,0.056,0.000,0.000,0.000,1.793,0.041,0.119,0.057,2.123
146,0.8643,0.104,0.000,0.000,0.000,2.143,0.103,0.289,0.194,2.949
147,0.8568,0.054,0.000,0.000,0.000,1.774,0.043,0.124,0.058,2.102
148,0.8570,0.201,0.000,0.000,0.000,2.785,0.192,0.545,0.290,4.228
149,0.8183,0.146,0.000,0.000,0.000,2.394,0.114,0.347,0.213,3.361
150,0.8425,0.185,0.000,0.000,0.000,2.750,0.173,0.491,0.350,4.140
151,0.8929,0.177,0.000,0.000,0.000,2.657,0.185,0.503,0.339,4.054
152,0.8493,0.177,0.000,0.000,0.000,2.546,0.144,0.447,0.245,3.730
153,0.8930,0.134,0.000,0.000,0.000,2.258,0.115,0.323,0.204,3.165
154,0.8342,0.180,0.000,0.000,0.000,2.718,0.164,0.497,0.325,4.075
155,0.7869,0.137,0.000,0.000,0.000,2.380,0.118,0.354,0.222,3.351
156,0.8421,0.147,0.000,0.000,0.000,2.386,0.130,0.390,0.232,3.446
157,0.8701,0.115,0.000,0.000,0.000,2.182,0.104,0.287,0.207,3.009
158,0.8014,0.318,0.000,0.000,0.000,2.460,0.263,0.764,0.434,4.536
159,0.8193,0.094,0.000,0.000,0.000,2.270,0.101,0.316,0.185,3.092
