Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
160,0.8769,0.184,0.000,0.000,0.000,2.618,0.161,0.487,0.281,3.927
161,0.8118,0.242,0.000,0.000,0.000,3.071,0.219,0.659,0.439,4.884
162,0.8803,0.162,0.000,0.000,0.000,2.476,0.154,0.418,0.248,3.618
163,0.8811,0.207,0.000,0.000,0.000,2.783,0.184,0.543,0.332,4.263
164,0.8494,0.170,0.000,0.000,0.000,2.514,0.145,0.421,0.246,3.659
165,0.8033,0.127,0.000,0.000,0.000,2.337,0.111,0.339,0.222,3.270
166,0.8716,0.176,0.000,0.000,0.000,2.473,0.149,0.417,0.299,3.676
167,0.8763,0.201,0.000,0.000,0.000,2.852,0.182,0.551,0.333,4.332
168,0.8178,0.183,0.000,0.000,0.000,2.517,0.126,0.411,0.213,3.620
169,0.8620,0.208,0.000,0.000,0.000,2.750,0.167,0.515,0.277,4.116
170,0.8809,0.224,0.000,0.000,0.000,2.877,0.190,0.561,0.334,4.402
171,0.8406,0.212,0.000,0.000,0.000,2.868,0.174,0.539,0.301,4.310
30,0.8613,0.240,0.000,0.000,0.000,3.090,0.195,0.602,0.370,4.733
31,0.8725,0.278,0.000,0.000,0.000,3.228,0.217,0.681,0.397,5.063
32,0.8217,0.120,0.000,0.000,0.000,2.368,0.110,0.323,0.211,3.261
33,0.9053,0.117,0.000,0.000,0.000,2.003,0.077,0.208,0.086,2.576
34,0.8965,0.146,0.000,0.000,0.000,2.341,0.122,0.368,0.219,3.338
36,0.8969,0.248,0.000,0.000,0.000,2.940,0.204,0.607,0.356,4.591
37,0.8610,0.129,0.000,0.000,0.000,2.242,0.113,0.320,0.209,3.141
38,0.8946,0.138,0.000,0.000,0.000,2.333,0.124,0.339,0.221,3.292
39,0.8765,0.211,0.000,0.000,0.000,2.622,0.156,0.477,0.260,3.921
40,0.8708,0.232,0.000,0.000,0.000,2.703,0.174,0.511,0.324,4.140
41,0.8552,0.265,0.000,0.000,0.000,2.892,0.187,0.559,0.343,4.464
42,0.8863,0.114,0.000,0.000,0.000,2.180,0.091,0.260,0.172,2.916
43,0.8371,0.205,0.000,0.000,0.000,2.581,0.165,0.455,0.320,3.905
44,0.7875,0.106,0.000,0.000,0.000,2.070,0.082,0.249,0.158,2.766
45,0.8763,0.132,0.000,0.000,0.000,2.258,0.101,0.300,0.182,3.095
47,0.8794,0.322,0.000,0.000,0.000,3.437,0.256,0.772,0.474,5.557
49,0.8880,0.223,0.000,0.000,0.000,2.807,0.185,0.535,0.320,4.281
50,0.8689,0.237,0.000,0.000,0.000,2.914,0.185,0.562,0.350,4.468
52,0.8700,0.167,0.000,0.000,0.000,2.423,0.131,0.376,0.234,3.478
53,0.8363,0.245,0.000,0.000,0.000,2.806,0.180,0.551,0.318,4.313
54,0.9072,0.145,0.000,0.000,0.000,2.374,0.132,0.352,0.241,3.411
55,0.9071,0.116,0.000,0.000,0.000,2.162,0.096,0.282,0.166,2.929
60,0.8568,0.176,0.000,0.000,0.000,2.432,0.134,0.407,0.238,3.546
61,0.8743,0.189,0.000,0.000,0.000,2.494,0.138,0.423,0.251,3.662
62,0.8745,0.163,0.000,0.000,0.000,2.448,0.140,0.397,0.256,3.559
63,0.9124,0.439,0.000,0.000,0.000,2.651,0.295,0.906,0.489,5.123
64,0.8843,0.133,0.000,0.000,0.000,2.219,0.105,0.295,0.173,3.043
66,0.8592,0.239,0.000,0.000,0.000,2.893,0.200,0.602,0.354,4.522
67,0.8855,0.163,0.000,0.000,0.000,2.449,0.135,0.407,0.233,3.547
68,0.9067,0.149,0.000,0.000,0.000,2.310,0.122,0.342,0.210,3.268
69,0.8380,0.208,0.000,0.000,0.000,2.892,0.179,0.539,0.328,4.355
71,0.8723,0.136,0.000,0.000,0.000,2.273,0.104,0.317,0.185,3.148
72,0.7793,0.637,0.000,0.000,0.000,3.470,0.507,1.510,0.804,7.505
73,0.8484,0.234,0.000,0.000,0.000,2.910,0.219,0.602,0.357,4.554
74,0.8897,0.171,0.000,0.000,0.000,2.481,0.155,0.416,0.267,3.649
75,0.8275,0.222,0.000,0.000,0.000,2.689,0.158,0.499,0.281,4.044
76,0.9301,0.139,0.000,0.000,0.000,2.232,0.098,0.309,0.174,3.078
77,0.8949,0.184,0.000,0.000,0.000,2.561,0.150,0.456,0.262,3.792
78,0.8350,0.121,0.000,0.000,0.000,2.200,0.096,0.289,0.178,3.004
79,0.8860,0.234,0.000,0.000,0.000,2.908,0.188,0.597,0.310,4.469
80,0.8247,0.151,0.000,0.000,0.000,2.433,0.130,0.371,0.262,3.493
81,0.8636,0.591,0.000,0.000,0.000,3.283,0.451,1.388,0.790,7.029
82,0.8671,0.123,0.000,0.000,0.000,2.261,0.119,0.324,0.189,3.143
83,0.8271,0.226,0.000,0.000,0.000,2.911,0.205,0.600,0.332,4.510
84,0.9009,0.174,0.000,0.000,0.000,2.548,0.151,0.440,0.260,3.740
85,0.8696,0.224,0.000,0.000,0.000,2.941,0.203,0.582,0.376,4.549
87,0.8768,0.170,0.000,0.000,0.000,2.587,0.157,0.455,0.288,3.832
88,0.8393,0.186,0.000,0.000,0.000,2.670,0.159,0.482,0.303,3.991
89,0.8601,0.178,0.000,0.000,0.000,2.669,0.175,0.493,0.311,4.019
90,0.8385,0.163,0.000,0.000,0.000,2.552,0.147,0.443,0.272,3.748
91,0.8835,0.062,0.000,0.000,0.000,1.873,0.051,0.144,0.061,2.250
92,0.8732,0.188,0.000,0.000,0.000,2.540,0.140,0.438,0.242,3.724
93,0.8565,0.252,0.000,0.000,0.000,3.014,0.212,0.643,0.361,4.734
94,0.8667,0.119,0.000,0.000,0.000,2.309,0.101,0.305,0.188,3.144
95,0.8513,0.126,0.000,0.000,0.000,2.379,0.145,0.378,0.134,3.309
96,0.8729,0.163,0.000,0.000,0.000,2.497,0.133,0.424,0.243,3.614
97,0.8563,0.247,0.000,0.000,0.000,3.055,0.261,0.671,0.452,4.952
98,0.8821,0.156,0.000,0.000,0.000,2.404,0.133,0.378,0.233,3.450
99,0.8416,0.139,0.000,0.000,0.000,2.161,0.101,0.295,0.198,3.009
