Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
81,0.8914,0.626,0.000,0.000,0.000,16.178,0.455,1.359,0.782,19.918
82,0.9403,0.122,0.000,0.000,0.000,4.331,0.120,0.338,0.203,5.240
83,0.8729,0.236,0.000,0.000,0.000,7.223,0.210,0.599,0.346,8.843
84,0.9540,0.169,0.000,0.000,0.000,5.909,0.148,0.455,0.289,7.143
85,0.8765,0.220,0.000,0.000,0.000,7.328,0.202,0.582,0.374,8.929
87,0.9303,0.174,0.000,0.000,0.000,5.727,0.162,0.456,0.278,6.977
88,0.9215,0.187,0.000,0.000,0.000,5.835,0.158,0.485,0.301,7.153
89,0.9267,0.193,0.000,0.000,0.000,6.536,0.179,0.493,0.316,7.908
90,0.9015,0.167,0.000,0.000,0.000,5.771,0.147,0.450,0.264,6.977
91,0.9249,0.079,0.000,0.000,0.000,2.881,0.053,0.145,0.061,3.277
92,0.9445,0.184,0.000,0.000,0.000,5.761,0.141,0.435,0.264,6.952
93,0.8775,0.255,0.000,0.000,0.000,7.207,0.211,0.647,0.365,8.926
94,0.9408,0.131,0.000,0.000,0.000,4.352,0.102,0.308,0.192,5.208
95,0.9007,0.132,0.000,0.000,0.000,5.013,0.150,0.376,0.135,5.950
96,0.9388,0.155,0.000,0.000,0.000,5.118,0.134,0.398,0.247,6.204
97,0.9115,0.258,0.000,0.000,0.000,8.033,0.261,0.671,0.440,9.919
98,0.9527,0.143,0.000,0.000,0.000,5.046,0.134,0.374,0.234,6.072
99,0.9205,0.123,0.000,0.000,0.000,4.313,0.103,0.289,0.193,5.135
